AATS1i,AATS2i,AATS3i,AATS4i,AATS5d,AATS6i,AATS7s,AATS8dv,AATS8s,AATSC0v,AETA_alpha,AETA_beta_ns_d,AETA_beta_s,AETA_eta_F,AETA_eta_L,AMID_C,ATSC0i,ATSC0p,ATSC1d,ATSC1dv,ATSC7d,ATSC8d,ATSC8dv,AXp-0d,AXp-1d,Ali_Log_S,Ali_Solubility_(mg/ml),BCUTc-1h,BCUTd-1l,BCUTs-1h,CIC1,CIC2,ESOL_Log_S,ESOL_Solubility_(mg/ml),EState_VSA1,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA9,ETA_dAlpha_B,ETA_dEpsilon_D,ETA_epsilon_5,FPSA3,GATS1d,GATS1dv,GATS1i,GATS1p,GATS1v,GATS2c,GATS2d,GATS2i,GATS2s,GATS2v,GATS3c,GATS3dv,GATS3i,GATS3s,GATS3v,GATS4c,GATS4dv,GATS4i,GATS4s,GATS5d,GATS5dv,GATS5i,GATS5p,GATS6d,GATS6dv,GATS6i,GATS6p,GATS6s,GATS7d,GATS7dv,GATS7i,GATS7p,GATS8c,GATS8dv,GATS8i,GGI3,GGI5,GGI6,GGI7,GGI8,GGI9,IC1,IC2,JGI2,JGI4,JGI5,MATS1c,MATS2s,MATS3s,MATS6s,MATS7s,MATS8s,MAXaaCH,MDEC-33,MLOGP,MOMI-Z,Mor02m,Mor03m,Mor06m,Mor08m,Mor11m,Mor13m,Mor16m,Mor23m,Mor26m,Mor30m,Mor31m,PEOE_VSA1,PEOE_VSA2,PEOE_VSA4,PEOE_VSA6,PEOE_VSA9,RNCG,RNCS,RPCG,RPCS,SMR_VSA1,SMR_VSA3,SMR_VSA4,SMR_VSA9,SaaS,SaaaC,SaasC,SdO,SdS,SddssS,SdssC,Silicos-IT_Log_P,Silicos-IT_Solubility_(mg/ml),SlogP_VSA1,SlogP_VSA10,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SpDiam_A,SpMax_A,SsNH2,SsOH,SssNH,SssO,SssS,SssssC,TopoPSA(NO),VE1_A,VSA_EState3,VSA_EState7,VSA_EState8,VSA_EState9,XLOGP3,Xc-3dv,Xc-5d,Xc-5dv,Xc-6dv,Xch-5d,Xch-7d,ZMIC1,ZMIC2
146.1247147,151.1860971,158.7179693,158.6785616,3.371900826,159.4257582,2.744929453,3.932533726735815,2.780939476,48.76662659,0.4787878788,0.01515151515,0.659872273112766,1.0316243397957445,0.20846583872411348,1.654040529,86.76923015042554,11.718508908822697,11.32441701,64.76680384,-8.49382716,-4.059880343654929,-53.96707819,0.6855377302,0.432423611443617,-5.56,0.029598614822695036,0.42705683682056733,1.0082130192996457,5.70477858691844,2.123059313,0.9254475639,-4.6626950354609935,0.0038,2.4164533223333335,4.9659163038191485,12.502109570932625,57.3051773,0.0,16.626085250723403,10.746823489609929,0.02121212121,0.02770562771,0.7571428571,0.042291190665921984,0.6424311093,0.4684334539,1.193380188,0.9043910550712766,0.8329574266,1.15952663,1.120631709,1.21712373,0.5735563184,0.9297753277,0.9908573102,1.08262818,0.9367748703,0.7354402211,0.9606659305968086,1.0394945988893616,1.136644661,1.095910684,1.106012103,1.158449171,1.0446875290514184,1.129738505,1.046671151,1.0877841560173758,1.001028816,0.9820830857031915,0.979257006,0.6014069537,1.097887927582624,1.110977255,0.9470969825,0.9256106712,0.9957910982,1.090981533,0.9988111824,1.8339736012950356,0.8774714342312057,0.5731972789,0.6606788549,0.28152588031453896,0.1991174152756383,3.631828189,4.644136198432625,0.06766046365170213,0.04393617021,0.020868562044893617,-0.43850480901382977,0.07284758476946951,-0.04938525616990993,0.04574526033,-0.08135202692,-0.02560021309,2.026312773,9.86546052331915,1.13,3358.107916,31.66904098,-2.969454678,1.1311804862970176,-2.3037957424893616,0.6845995323817021,-1.710474999,0.3949605066559954,-0.7422368534921986,-0.3975811033,0.4440482265,-0.2810697766,10.30076712,9.019891914145392,5.261891555,19.05647134,46.29261463,0.1593193784,26.0493072,0.0708162659,93.38478256399185,0.0,24.9198926,0.0,28.71445679,0.0,0.7872584156648935,5.365598290456737,0.0,0.5120103576595745,0.0,0.0,4.272978723404255,0.001967746025531915,7.498761342602838,5.687386275,24.9198926,12.96557803,11.33111287,4.877336081,2.492697949138298,0.0,0.9490765134113476,1.8443195192836879,0.0,0.0,-0.14555193619432624,103.17,4.446339558443263,7.871736254109574,4.3393117083241135,2.591937797,0.0,3.454468085106383,0.7323949012,0.39325319552705673,0.06541342195,0.0,0.19250506562819147,0.828160355869858,50.739382652411344,30.95983989
151.5397617,157.5474193,163.9182458,164.7179547,3.53271028,165.1169809,3.143637227,3.932533726735815,3.385135135,46.38335578,0.46359447,0.04838709677,0.659872273112766,1.0316243397957445,0.20846583872411348,1.493241297,86.76923015042554,11.718508908822697,8.5936,53.6384,-11.4772,-4.059880343654929,-30.0544,0.6894086529,0.432423611443617,-4.25,0.029598614822695036,0.42705683682056733,1.0082130192996457,5.70477858691844,1.662708558,0.6081274391,-4.6626950354609935,0.0196,2.4164533223333335,4.9659163038191485,12.502109570932625,5.57310453,18.19910121,16.626085250723403,10.746823489609929,0.03640552995,0.04960693955,0.812605042,0.042291190665921984,0.7566673934,0.4694502873,1.083167515,0.9043910550712766,0.8474360554,1.175789659,1.139452075,1.097325073,0.5823498062,0.9144217359,1.004889248,1.080961164,0.9860373438,0.9626907703,0.9606659305968086,1.0394945988893616,1.054019491,1.017239667,0.914501734,1.10068275,1.0446875290514184,1.073344015,1.040100864,1.0877841560173758,0.8885699107,0.9820830857031915,0.9266635793,0.6829368466,1.097887927582624,1.047397192,0.9223260991,0.9385948302,0.9752887061,1.006720808,1.007875642,1.8339736012950356,0.8774714342312057,0.7112018141,0.6163548753,0.28152588031453896,0.1991174152756383,3.981147632,4.644136198432625,0.06766046365170213,0.04241975309,0.020868562044893617,-0.43850480901382977,0.07284758476946951,-0.04938525616990993,0.06624173245,-0.02694792288,-0.06311020323,1.752997727,9.86546052331915,2.78,2853.022347,30.56534244,-3.910720297,1.1311804862970176,-2.3037957424893616,0.6845995323817021,-1.724644867,0.3949605066559954,-0.7422368534921986,-0.1041850566,0.3323877145,-0.1540221275,10.30076712,9.019891914145392,0.0,18.20875424,29.31392667,0.1391792811,36.58182932,0.07010002312,93.38478256399185,8.780830095,25.38663948,4.992404733,11.38785599,0.0,0.7872584156648935,5.365598290456737,0.0,0.5120103576595745,0.0,0.806811067,4.272978723404255,0.001967746025531915,7.498761342602838,14.46821637,32.46515906,6.544756406,18.55817888,4.865265677,2.492697949138298,0.0,0.9490765134113476,1.8443195192836879,0.0,0.0,-0.14555193619432624,81.23,4.446339558443263,7.871736254109574,4.3393117083241135,1.992124129,0.0,3.454468085106383,0.8053607425,0.39325319552705673,0.08374028396,0.0,0.19250506562819147,0.828160355869858,50.739382652411344,29.32088182
145.6756489,152.3692317,156.7243031,158.5660927,3.369369369,159.4311695,2.820304818,3.932533726735815,2.793756146,48.00479604,0.4731182796,0.01612903226,0.659872273112766,1.0316243397957445,0.20846583872411348,1.622721684,86.76923015042554,11.718508908822697,9.9336,59.6336,-10.1108,-4.059880343654929,-1.5408,0.6841461785,0.432423611443617,-5.23,0.029598614822695036,0.42705683682056733,1.0082130192996457,5.70477858691844,1.978490264,0.959483369,-4.6626950354609935,0.00449,2.4164533223333335,4.9659163038191485,12.502109570932625,40.03047287,0.0,16.626085250723403,10.746823489609929,0.02688172043,0.01606182796,0.7979166667,0.042291190665921984,0.6667444211,0.4928543905,1.253901445,0.9043910550712766,0.8579165357,1.263143658,1.146201083,1.126765514,0.6367795801,0.8542836326,0.9479241672,1.104689293,1.036446104,0.7493841166,0.9606659305968086,1.0394945988893616,1.034176102,1.105811125,0.9985451631,1.127544619,1.0446875290514184,1.119860331,0.9749229542,1.0877841560173758,1.086820551,0.9820830857031915,0.8720432635,0.6671579862,1.097887927582624,1.022812614,1.096381135,1.135496843,0.89754036,0.9796886227,0.9783350062,1.8339736012950356,0.8774714342312057,0.5723809524,0.5755385488,0.28152588031453896,0.1991174152756383,3.665365926,4.644136198432625,0.06766046365170213,0.04273901809,0.020868562044893617,-0.43850480901382977,0.07284758476946951,-0.04938525616990993,-0.01323283817,-0.06183612388,0.001028379954,1.993581034,9.86546052331915,1.56,1801.206755,28.28848451,-3.062389242,1.1311804862970176,-2.3037957424893616,0.6845995323817021,-1.966806931,0.3949605066559954,-0.7422368534921986,-0.6798670227,0.7196377646,-0.3665019633,14.79051451,9.019891914145392,5.261891555,6.066367068,29.55874348,0.1732788131,148.1751399,0.08816961431,93.38478256399185,9.473725908,14.53505669,0.0,34.77396375,0.0,0.7872584156648935,5.365598290456737,0.0,0.5120103576595745,0.0,0.0,4.272978723404255,0.001967746025531915,7.498761342602838,5.687386275,21.327999,6.544756406,18.25485007,4.848604167,2.492697949138298,0.0,0.9490765134113476,1.8443195192836879,10.9890741,0.0,-0.14555193619432624,84.99,4.446339558443263,7.871736254109574,4.3393117083241135,2.72396651,0.0,3.454468085106383,0.7585393788,0.39325319552705673,0.06274916425,0.0,0.19250506562819147,0.828160355869858,50.739382652411344,31.26935238
144.0134583,150.126197,156.8461685,153.5723163,3.865979381,156.7137158,2.356688122,3.932533726735815,2.087254445,51.04803271,0.4928571429,0.01923076923,0.659872273112766,1.0316243397957445,0.20846583872411348,1.710001269,86.76923015042554,11.718508908822697,12.73336939,67.91639792,-20.64196863,-4.059880343654929,-38.35570779,0.679730678,0.432423611443617,-4.76,0.029598614822695036,0.42705683682056733,1.0082130192996457,5.70477858691844,1.882225511,0.7536365571,-4.6626950354609935,0.00255,2.4164533223333335,4.9659163038191485,12.502109570932625,47.37110857,16.82083098,16.626085250723403,10.746823489609929,0.007142857143,0.0,0.7879120879,0.042291190665921984,0.5602350279,0.4318447912,1.098254068,0.9043910550712766,0.8150876153,1.314057055,0.9656629185,1.20195393,0.802777227,0.8248936248,1.162451852,1.122979597,0.9005178782,1.07024599,0.9606659305968086,1.0394945988893616,1.142759713,1.026477864,1.104286557,1.277430991,1.0446875290514184,1.254770926,0.9894774431,1.0877841560173758,1.240392507,0.9820830857031915,0.9625365914,1.264429857,1.097887927582624,1.226162045,1.006670644,1.045596152,0.7989429637,1.006643446,0.9886050964,1.8339736012950356,0.8774714342312057,0.6131972789,0.4288548753,0.28152588031453896,0.1991174152756383,3.544039244,4.644136198432625,0.06766046365170213,0.04044973545,0.020868562044893617,-0.43850480901382977,0.07284758476946951,-0.04938525616990993,-0.1398244797,-0.1165371515,-0.1514373106,2.125990226,9.86546052331915,3.15,2177.837598,20.78246748,-2.909144122,1.1311804862970176,-2.3037957424893616,0.6845995323817021,-1.147689069,0.3949605066559954,-0.7422368534921986,-0.4462850492,0.3119019792,-0.02368572528,0.0,9.019891914145392,5.098681808,29.8000411,21.92719002,0.1910926599,9.627587987,0.08464523789,93.38478256399185,0.0,19.74844179,0.0,22.51475897,0.0,0.7872584156648935,5.365598290456737,0.0,0.5120103576595745,0.0,0.0,4.272978723404255,0.001967746025531915,7.498761342602838,0.0,19.74844179,12.96557803,6.9237372,5.000147947,2.492697949138298,0.0,0.9490765134113476,1.8443195192836879,0.0,0.0,-0.14555193619432624,43.6,4.446339558443263,7.871736254109574,4.3393117083241135,2.883960967,0.0,3.454468085106383,0.8170731478,0.39325319552705673,0.2038753515,0.0,0.19250506562819147,0.828160355869858,50.739382652411344,27.68479521
146.5993687,154.1669417,159.7211343,160.2334063,3.412371134,157.6714408,2.789948692,3.932533726735815,2.688571257,51.66154758,0.4942528736,0.0,0.659872273112766,1.0316243397957445,0.20846583872411348,1.431447135,86.76923015042554,11.718508908822697,11.87,75.11964444,-5.64,-4.059880343654929,26.19964444,0.6971368173,0.432423611443617,-6.95,0.029598614822695036,0.42705683682056733,1.0082130192996457,5.70477858691844,1.648447688,0.5652932501,-4.6626950354609935,0.00457,2.4164533223333335,4.9659163038191485,12.502109570932625,50.71112305,0.0,16.626085250723403,10.746823489609929,0.005747126437,0.03485354097,0.8053763441,0.042291190665921984,0.6650115856,0.4779477044,1.228012266,0.9043910550712766,0.8749425937,0.8909175888,0.9456140351,1.106504655,0.5603797909,0.8701675144,1.07023076,1.034606877,0.8681295929,0.915101555,0.9606659305968086,1.0394945988893616,1.101335129,1.058849269,1.376825005,1.107795261,1.0446875290514184,1.006497601,0.827745925,1.0877841560173758,1.173792156,0.9820830857031915,1.15118977,1.392880882,1.097887927582624,1.065235378,1.038845107,0.8922866148,0.8003754203,0.8960468008,1.050911894,1.8339736012950356,0.8774714342312057,0.6370068027,0.4930909864,0.28152588031453896,0.1991174152756383,3.995408502,4.644136198432625,0.06766046365170213,0.03995833333,0.020868562044893617,-0.43850480901382977,0.07284758476946951,-0.04938525616990993,-0.1033774514,-0.1345191316,0.08512529267,2.097914513,9.86546052331915,1.34,2421.485615,28.99992128,-5.985861375,1.1311804862970176,-2.3037957424893616,0.6845995323817021,-0.7117091594,0.3949605066559954,-0.7422368534921986,-0.09575072774,0.2428381953,0.2028940593,15.03763008,9.019891914145392,0.0,19.41092589,34.57272627,0.1756174026,36.04326419,0.1589936585,93.38478256399185,9.531400138,25.25270269,0.0,21.95893118,3.1530174,0.7872584156648935,5.365598290456737,11.85223036,0.5120103576595745,0.0,-0.4359976129,4.272978723404255,0.001967746025531915,7.498761342602838,4.794537184,32.63603612,11.28161936,6.9237372,4.831551496,2.492697949138298,0.0,0.9490765134113476,1.8443195192836879,5.145563254,0.0,-0.14555193619432624,92.79,4.446339558443263,7.871736254109574,4.3393117083241135,4.691401677,0.0,3.454468085106383,0.8298151429,0.39325319552705673,0.1110709264,0.0,0.19250506562819147,0.828160355869858,50.739382652411344,29.79848615
150.1287662,155.577371,160.8336168,160.1387595,3.341463415,162.5521344,2.748106061,3.932533726735815,2.791894353,47.59726111,0.4707070707,0.0303030303,0.659872273112766,1.0316243397957445,0.20846583872411348,1.519969228,86.76923015042554,11.718508908822697,11.33190083,75.49586777,-3.483636364,-4.059880343654929,-2.421487603,0.6904812668,0.432423611443617,-3.54,0.029598614822695036,0.42705683682056733,1.0082130192996457,5.70477858691844,2.01541337,0.9098018185,-4.6626950354609935,0.0997,2.4164533223333335,4.9659163038191485,12.502109570932625,51.71376917,13.26227256,16.626085250723403,10.746823489609929,0.02929292929,0.04335016835,0.7768518519,0.042291190665921984,0.7054229688,0.4701755915,1.310822657,0.9043910550712766,0.871503092,0.9983987644,1.141330729,1.247799371,0.5704406583,0.9051268693,1.185920903,1.182222662,0.9763069501,1.312861561,0.9606659305968086,1.0394945988893616,0.9728418609,1.056870471,0.6390663656,1.109865471,1.0446875290514184,1.169295384,1.094277983,1.0877841560173758,0.9583467224,0.9820830857031915,0.9608184825,0.7748292652,1.097887927582624,1.052699229,0.8864739701,0.9262473304,1.1312054,0.9470689873,1.061783366,1.8339736012950356,0.8774714342312057,0.7356462585,0.5130385488,0.28152588031453896,0.1991174152756383,3.765946344,4.644136198432625,0.06766046365170213,0.0399537037,0.020868562044893617,-0.43850480901382977,0.07284758476946951,-0.04938525616990993,0.02791545152,-0.06188380767,-0.06019558339,1.980502618,9.86546052331915,1.49,2410.562961,31.04069865,-3.435346892,1.1311804862970176,-2.3037957424893616,0.6845995323817021,-1.670162037,0.3949605066559954,-0.7422368534921986,-0.2684374989,0.3533697405,-0.2098917096,15.61755573,9.019891914145392,5.425791397,18.20875424,23.62654039,0.1343410739,33.44055909,0.07858035979,93.38478256399185,4.794537184,25.38663948,4.992404733,11.38785599,0.0,0.7872584156648935,5.365598290456737,11.33939598,0.5120103576595745,0.0,0.7953104794,4.272978723404255,0.001967746025531915,7.498761342602838,11.37477255,32.20656318,11.33929359,13.08951281,4.84872166,2.492697949138298,0.0,0.9490765134113476,1.8443195192836879,0.0,0.0,-0.14555193619432624,112.4,4.446339558443263,7.871736254109574,4.3393117083241135,3.918105847,0.0,3.454468085106383,0.8586399347,0.39325319552705673,0.06365387513,0.0,0.19250506562819147,0.828160355869858,50.739382652411344,29.638011
145.2099007,150.9997198,159.6007726,160.6028503,3.7,160.1861851,4.12394412,3.932533726735815,5.584929757,47.18135908,0.4826190476,0.025,0.659872273112766,1.0316243397957445,0.20846583872411348,1.460883267,86.76923015042554,11.718508908822697,5.32,35.08,-6.591111111,-4.059880343654929,-28.30567901,0.6844934983,0.432423611443617,-4.23,0.029598614822695036,0.42705683682056733,1.0082130192996457,5.70477858691844,1.107309365,0.6,-4.6626950354609935,0.0436,2.4164533223333335,4.9659163038191485,12.502109570932625,29.69887896,23.46952001,16.626085250723403,10.746823489609929,0.01738095238,0.0,0.8673809524,0.042291190665921984,0.6997198007,0.4082961782,0.891441957,0.9043910550712766,0.7736881998,0.9658537332,1.020738204,1.17065636,0.5995147277,0.9814459381,0.8583093994,0.8446876528,0.9941708864,0.7924413668,0.9606659305968086,1.0394945988893616,1.115985009,0.9669628592,0.9613873454,1.355650685,1.0446875290514184,0.9082043996,1.054480569,1.0877841560173758,1.218909838,0.9820830857031915,1.092971536,1.075988583,1.097887927582624,1.20279857,1.068597897,1.281192165,0.7148405057,1.410596581,0.9389262985,1.8339736012950356,0.8774714342312057,0.3673015873,0.3359552154,0.28152588031453896,0.1991174152756383,3.799581231,4.644136198432625,0.06766046365170213,0.04452674897,0.020868562044893617,-0.43850480901382977,0.07284758476946951,-0.04938525616990993,-0.05662620013,-0.1550138167,0.1450244576,1.621602104,9.86546052331915,2.25,539.8377532,19.17433041,-3.185761506,1.1311804862970176,-2.3037957424893616,0.6845995323817021,-0.8106417495,0.3949605066559954,-0.7422368534921986,0.09260569599,0.02337361608,0.06641800929,0.0,9.019891914145392,9.614079702,11.33678588,0.0,0.2122845906,208.8221789,0.1526629909,93.38478256399185,9.184952232,14.59805822,0.0,11.25737949,1.523836425,0.7872584156648935,5.365598290456737,11.36712758,0.5120103576595745,0.0,0.0,4.272978723404255,0.001967746025531915,7.498761342602838,4.390415048,20.88421875,0.0,5.817220841,4.850608614,2.492697949138298,0.0,0.9490765134113476,1.8443195192836879,0.0,0.0,-0.14555193619432624,47.26,4.446339558443263,7.871736254109574,4.3393117083241135,0.0,0.0,3.454468085106383,0.7417047715,0.39325319552705673,0.1539444827,0.0,0.19250506562819147,0.828160355869858,50.739382652411344,27.16226232
144.1851809,150.8419307,157.1409259,157.1307331,3.634782609,156.3895983,2.343209877,3.932533726735815,2.098566308,52.07746353,0.4851851852,0.0,0.659872273112766,1.0316243397957445,0.20846583872411348,1.785102788,86.76923015042554,11.718508908822697,15.6122449,84.22907122,-22.40816327,-4.059880343654929,-138.755935,0.6807446078,0.432423611443617,-4.91,0.029598614822695036,0.42705683682056733,1.0082130192996457,5.70477858691844,2.273263854,1.066625765,-4.6626950354609935,0.00274,2.4164533223333335,4.9659163038191485,12.502109570932625,41.98488435,22.20705519,16.626085250723403,10.746823489609929,0.01481481481,0.0,0.7592592593,0.042291190665921984,0.5886792453,0.4237798681,1.131625525,0.9043910550712766,0.9097212439,1.291044865,1.006451613,1.189452481,0.7820508886,0.8877379939,1.145307783,1.048971596,0.9769784468,0.977530557,0.9606659305968086,1.0394945988893616,1.191190135,0.9299587479,1.294388551,1.32173913,1.0446875290514184,1.228789108,1.07607442,1.0877841560173758,1.223242147,0.9820830857031915,1.069253308,1.169309747,1.097887927582624,1.309652846,0.9765857501,1.01391603,1.07729835,1.242377808,0.9516078848,1.8339736012950356,0.8774714342312057,0.5251247166,0.4453656463,0.28152588031453896,0.1991174152756383,3.34144599,4.644136198432625,0.06766046365170213,0.03528395062,0.020868562044893617,-0.43850480901382977,0.07284758476946951,-0.04938525616990993,-0.0723920825,-0.1537992578,-0.1695336829,2.151216564,9.86546052331915,3.09,2086.58422,14.69025353,-4.575509382,1.1311804862970176,-2.3037957424893616,0.6845995323817021,-1.338907896,0.3949605066559954,-0.7422368534921986,-0.1111993468,0.2818209518,0.04606378681,0.0,9.019891914145392,5.098681808,38.11294267,11.21062871,0.1811246968,10.62986842,0.08022885623,93.38478256399185,0.0,19.74844179,0.0,22.51475897,0.0,0.7872584156648935,5.365598290456737,0.0,0.5120103576595745,0.0,0.0,4.272978723404255,0.001967746025531915,7.498761342602838,0.0,19.74844179,12.96557803,0.0,4.998950662,2.492697949138298,0.0,0.9490765134113476,1.8443195192836879,0.0,0.0,-0.14555193619432624,43.6,4.446339558443263,7.871736254109574,4.3393117083241135,5.33564435,0.0,3.454468085106383,0.9048170651,0.39325319552705673,0.2052184453,0.0,0.19250506562819147,0.828160355869858,50.739382652411344,29.28526947
151.5257649,157.2635962,163.5218903,164.3794591,3.355555556,161.3458172,3.605429293,3.932533726735815,3.680365297,43.49756155,0.4573129252,0.05357142857,0.659872273112766,1.0316243397957445,0.20846583872411348,1.426901074,86.76923015042554,11.718508908822697,9.346938776,49.0,3.859410431,-4.059880343654929,36.77777778,0.7026070582,0.432423611443617,-4.06,0.029598614822695036,0.42705683682056733,1.0082130192996457,5.70477858691844,1.62628006,0.8337988097,-4.6626950354609935,0.0316,2.4164533223333335,4.9659163038191485,12.502109570932625,18.19910121,24.12316206,16.626085250723403,10.746823489609929,0.04268707483,0.03951247166,0.8531746032,0.042291190665921984,0.6710431655,0.4052873563,1.054130241,0.9043910550712766,0.8267878547,0.9874788557,1.032374101,1.072343379,0.5953059769,0.8556774354,1.11485472,1.012147335,1.026409886,0.9977456833,0.9606659305968086,1.0394945988893616,1.090129795,1.029778526,1.131097181,1.109802158,1.0446875290514184,0.8093704142,0.9731562305,1.0877841560173758,1.027356322,0.9820830857031915,1.13426717,0.8326726416,1.097887927582624,1.054320141,0.8210777852,0.945896658,0.9810562833,0.9005668399,0.8904870432,1.8339736012950356,0.8774714342312057,0.5968253968,0.3211805556,0.28152588031453896,0.1991174152756383,3.766037363,4.644136198432625,0.06766046365170213,0.03952020202,0.020868562044893617,-0.43850480901382977,0.07284758476946951,-0.04938525616990993,-0.05537400896,-0.06680925073,-0.06967460441,1.686829229,9.86546052331915,2.75,1859.334395,16.17687259,-2.922220665,1.1311804862970176,-2.3037957424893616,0.6845995323817021,-1.904626993,0.3949605066559954,-0.7422368534921986,-0.1552706544,0.3627522401,-0.09845408509,10.63357721,9.019891914145392,9.780484743,0.0,17.57815784,0.1524828092,14.02949913,0.1475073878,93.38478256399185,13.57536728,25.06523039,0.0,11.25737949,0.0,0.7872584156648935,5.365598290456737,12.0483115,0.5120103576595745,0.0,-0.4136118403,4.272978723404255,0.001967746025531915,7.498761342602838,24.95013983,32.82722828,0.0,11.63444168,4.877473763,2.492697949138298,0.0,0.9490765134113476,1.8443195192836879,0.0,0.0,-0.14555193619432624,84.73,4.446339558443263,7.871736254109574,4.3393117083241135,0.0,1.501980667,3.454468085106383,0.6258641428,0.39325319552705673,0.08765981412,0.0,0.19250506562819147,0.828160355869858,50.739382652411344,33.15383706
147.4612651,157.7221058,159.9476082,159.1225334,4.1,162.9607215,5.453186535,3.932533726735815,4.534979424,43.86052541,0.4843253968,0.0,0.659872273112766,1.0316243397957445,0.20846583872411348,1.332445565,86.76923015042554,11.718508908822697,3.752066116,40.2265075,-11.12396694,-4.059880343654929,-81.96755433,0.7040406978,0.432423611443617,-6.27,0.029598614822695036,0.42705683682056733,1.0082130192996457,5.70477858691844,1.049369409,0.4928685608,-4.6626950354609935,0.00251,2.4164533223333335,4.9659163038191485,12.502109570932625,15.91054863,22.67357176,16.626085250723403,10.746823489609929,0.01567460317,0.02512698413,0.903047619,0.042291190665921984,0.9346405229,0.3964611406,0.8505278771,0.9043910550712766,0.7117645346,1.066337923,0.9322033898,0.7492637709,0.3591895554,0.7793836392,0.6916775797,0.7824128347,0.5185500431,0.4570906609,0.9606659305968086,1.0394945988893616,0.8466251836,0.9734528773,0.8341697233,1.175490196,1.0446875290514184,0.9434064182,0.9520079746,1.0877841560173758,1.087901579,0.9820830857031915,1.339381988,1.049784255,1.097887927582624,1.329232471,1.424684863,0.9366503436,0.8996855229,1.56203012,1.45619129,1.8339736012950356,0.8774714342312057,0.7413151927,0.5721017574,0.28152588031453896,0.1991174152756383,3.995024711,4.644136198432625,0.06766046365170213,0.05052380952,0.020868562044893617,-0.43850480901382977,0.07284758476946951,-0.04938525616990993,-0.02532760127,-0.2289025083,-0.337053202,1.810150227,9.86546052331915,2.09,2275.114305,30.5186832,-6.198717848,1.1311804862970176,-2.3037957424893616,0.6845995323817021,-0.5802035465,0.3949605066559954,-0.7422368534921986,-0.309865363,0.155164361,0.1592967637,4.983978521,9.019891914145392,13.17124514,6.066367068,21.4210879,0.1746651557,31.96666154,0.2350145504,93.38478256399185,13.17124514,19.93591408,0.0,21.95893118,2.703659126,0.7872584156648935,5.365598290456737,0.0,0.5120103576595745,0.0,0.0,4.272978723404255,0.001967746025531915,7.498761342602838,13.17124514,19.93591408,6.176298517,6.9237372,4.853464981,2.492697949138298,0.0,0.9490765134113476,1.8443195192836879,0.0,0.0,-0.14555193619432624,54.46,4.446339558443263,7.871736254109574,4.3393117083241135,1.792035689,0.0,3.454468085106383,0.8991335537,0.39325319552705673,0.1350287976,0.003018408053,0.19250506562819147,0.828160355869858,50.739382652411344,36.71808007
146.2217091,150.9941239,157.9963401,158.5402442,3.428571429,159.9072869,2.784425451,3.932533726735815,2.87962963,47.91974111,0.478125,0.015625,0.659872273112766,1.0316243397957445,0.20846583872411348,1.643342141,86.76923015042554,11.718508908822697,9.852748943,55.5171088,-7.83160323,-4.059880343654929,-23.45905421,0.6848636974,0.432423611443617,-5.11,0.029598614822695036,0.42705683682056733,1.0082130192996457,5.70477858691844,2.153891597,0.9798856559,-4.6626950354609935,0.00688,2.4164533223333335,4.9659163038191485,12.502109570932625,50.88435568,0.0,16.626085250723403,10.746823489609929,0.021875,0.02867647059,0.7588235294,0.042291190665921984,0.6668742217,0.4816028966,1.182217953,0.9043910550712766,0.8091796514,1.161434476,1.167654302,1.209208366,0.565111774,0.9053723345,1.029803856,1.128865679,0.9438083753,0.7913171568,0.9606659305968086,1.0394945988893616,1.08711971,1.101271972,1.048155457,1.138392857,1.0446875290514184,1.132323358,1.04259701,1.0877841560173758,1.017586478,0.9820830857031915,0.945187391,0.6112380475,1.097887927582624,1.112031134,0.9473387046,0.956465875,0.9587730547,1.008931429,1.040676543,1.8339736012950356,0.8774714342312057,0.5731972789,0.6198625283,0.28152588031453896,0.1991174152756383,3.518533745,4.644136198432625,0.06766046365170213,0.045,0.020868562044893617,-0.43850480901382977,0.07284758476946951,-0.04938525616990993,0.03965672389,-0.08469110507,-0.0283177358,2.004272784,9.86546052331915,0.92,2240.776417,31.05677271,-3.032394041,1.1311804862970176,-2.3037957424893616,0.6845995323817021,-1.691975118,0.3949605066559954,-0.7422368534921986,-0.296404184,0.4181105421,-0.3103246066,10.30076712,9.019891914145392,5.261891555,12.13273414,46.29261463,0.1627685423,26.81160078,0.07234939331,93.38478256399185,0.0,24.9198926,0.0,28.71445679,0.0,0.7872584156648935,5.365598290456737,0.0,0.5120103576595745,0.0,0.0,4.272978723404255,0.001967746025531915,7.498761342602838,5.687386275,24.9198926,6.544756406,18.25485007,4.874762888,2.492697949138298,0.0,0.9490765134113476,1.8443195192836879,0.0,0.0,-0.14555193619432624,103.17,4.446339558443263,7.871736254109574,4.3393117083241135,2.468875052,0.0,3.454468085106383,0.7702072531,0.39325319552705673,0.06541342195,0.0,0.19250506562819147,0.828160355869858,50.739382652411344,32.01951086
